month,year,cal_month,gobierno,generalitat,player_action,gdp_growth,gdp_target,unemployment,public_debt_game,public_debt_real_pct,generalitat_surplus,cat_spa_relations,independence_movement,independence_trust,social_dissent,fla_leverage
1,2012,8,PP_abs,CiU,neutral,-3.085,-3.544,22.587,25.122,50.2,-2.305,38.33,66.26,27.95,72.15,False
2,2012,9,PP_abs,CiU,neutral,-2.775,-3.555,22.666,25.237,50.5,-2.2,37.88,66.64,27.79,72.06,False
3,2012,10,PP_abs,CiU,neutral,-2.929,-3.568,22.749,25.362,50.7,-2.417,36.56,66.02,27.35,72.76,False
4,2012,11,PP_abs,CiU,neutral,-3.367,-3.586,22.844,25.497,51.0,-2.577,37.46,65.71,27.46,71.73,False
5,2012,12,PP_abs,CiU,neutral,-3.575,-3.567,22.946,25.633,51.3,-2.555,36.54,65.94,27.23,71.84,False
6,2012,1,PP_abs,CiU,neutral,-3.747,-3.586,23.052,25.761,51.5,-2.325,36.41,64.88,27.71,71.02,False
7,2012,2,PP_abs,CiU,neutral,-3.639,-3.57,23.155,25.898,51.8,-2.552,35.36,64.94,28.15,71.6,False
8,2012,3,PP_abs,CiU,neutral,-3.655,-3.581,23.259,26.036,52.1,-2.58,34.2,64.19,27.99,73.07,False
9,2012,4,PP_abs,CiU,neutral,-3.541,-3.591,23.359,26.181,52.4,-2.783,34.31,63.73,27.72,74.1,False
10,2012,5,PP_abs,CiU,neutral,-3.265,-3.587,23.451,26.32,52.6,-2.661,33.6,63.34,27.96,75.5,False
11,2012,6,PP_abs,CiU,neutral,-3.491,-3.591,23.55,26.46,52.9,-2.674,32.71,62.15,28.43,77.28,False
12,2012,7,PP_abs,CiU,neutral,-3.537,-3.584,23.651,26.596,53.2,-2.545,32.84,61.46,28.68,79.25,False
13,2013,8,PP_abs,CiU,neutral,-3.08,-1.871,23.738,26.719,53.4,-2.345,30.89,62.09,28.8,79.39,False
14,2013,9,PP_abs,CiU,neutral,-2.726,-1.906,23.815,26.849,53.7,-2.57,30.61,62.3,29.61,79.31,False
15,2013,10,PP_abs,CiU,neutral,-2.722,-1.903,23.892,26.98,54.0,-2.617,31.13,62.49,29.41,80.27,False
16,2013,11,PP_abs,CiU,neutral,-2.465,-1.9,23.962,27.105,54.2,-2.485,30.52,62.09,29.28,79.25,False
17,2013,12,PP_abs,CiU,neutral,-2.225,-1.906,24.025,27.225,54.4,-2.437,30.41,61.76,28.65,79.28,False
18,2013,1,PP_abs,CiU,neutral,-2.233,-1.911,24.088,27.348,54.7,-2.517,30.17,62.02,29.66,79.91,False
19,2013,2,PP_abs,CiU,neutral,-2.069,-1.906,24.147,27.47,54.9,-2.508,28.71,61.88,29.76,82.83,False
20,2013,3,PP_abs,CiU,neutral,-2.083,-1.925,24.206,27.589,55.2,-2.455,28.57,60.72,30.4,84.05,False
21,2013,4,PP_abs,CiU,neutral,-1.812,-1.905,24.257,27.711,55.4,-2.545,29.43,59.35,30.76,86.7,False
22,2013,5,PP_abs,CiU,neutral,-2.106,-1.872,24.317,27.836,55.7,-2.595,29.45,58.79,30.06,87.23,False
23,2013,6,PP_abs,CiU,neutral,-2.338,-1.873,24.383,27.961,55.9,-2.522,28.75,60.07,29.74,87.38,False
24,2013,7,PP_abs,CiU,neutral,-1.988,-1.903,24.44,28.088,56.2,-2.652,28.79,61.14,29.0,88.04,True
25,2014,8,PP_abs,CiU,neutral,-1.085,0.976,24.47,28.203,56.4,-2.535,27.81,59.84,29.33,88.81,True
26,2014,9,PP_abs,CiU,neutral,-0.437,0.981,24.483,28.309,56.6,-2.466,27.28,59.94,29.55,88.57,True
27,2014,10,PP_abs,CiU,neutral,0.481,0.975,24.453,28.408,56.8,-2.376,26.4,60.42,29.13,89.83,True
28,2014,11,PP_abs,CiU,neutral,0.937,0.951,24.394,28.51,57.0,-2.439,26.95,60.68,29.61,92.19,True
29,2014,12,PP_abs,CiU,neutral,0.875,0.961,24.339,28.614,57.2,-2.494,26.21,59.84,29.65,93.0,True
30,2014,1,PP_abs,CDC_ERC_15,neutral,1.117,1.461,24.263,28.712,57.4,-2.358,26.17,61.04,29.58,96.19,True
31,2014,2,PP_abs,CDC_ERC_15,neutral,1.384,1.445,24.167,28.813,57.6,-2.423,25.3,61.36,29.54,97.36,True
32,2014,3,PP_abs,CDC_ERC_15,neutral,1.529,1.428,24.062,28.912,57.8,-2.392,24.59,59.89,29.39,98.67,True
33,2014,4,PP_abs,CDC_ERC_15,neutral,1.562,1.433,23.955,29.017,58.0,-2.502,24.66,60.12,29.02,99.27,True
34,2014,5,PP_abs,CDC_ERC_15,neutral,1.54,1.427,23.849,29.125,58.3,-2.6,24.79,60.52,29.63,100.0,True
35,2014,6,PP_abs,CDC_ERC_15,neutral,1.124,1.431,23.772,29.237,58.5,-2.676,25.03,60.87,29.96,100.0,True
36,2014,7,PP_abs,CDC_ERC_15,neutral,1.371,1.434,23.678,29.341,58.7,-2.502,25.58,61.35,29.87,100.0,True
